67,Osvícení,https://www.csfd.cz/film/5407-osviceni/,1980
68,Četa,https://www.csfd.cz/film/8759-ceta/,1986
69,Psycho,https://www.csfd.cz/film/4385-psycho/,1960
70,12 úkolů pro Asterixe,https://www.csfd.cz/film/102874-12-ukolu-pro-asterixe/,1976
71,Star Wars: Epizoda IV - Nová naděje,https://www.csfd.cz/film/6169-star-wars-epizoda-iv-nova-nadeje/,1977
72,Bohemian Rhapsody,https://www.csfd.cz/film/300902-bohemian-rhapsody/,2018
73,Někdo to rád horké,https://www.csfd.cz/film/9793-nekdo-to-rad-horke/,1959
74,Prázdniny v Římě,https://www.csfd.cz/film/9926-prazdniny-v-rime/,1953
75,25 let neviny,https://www.csfd.cz/film/806817-25-let-neviny/,2020
76,Kladivo na čarodějnice,https://www.csfd.cz/film/9455-kladivo-na-carodejnice/,1969
77,Hon,https://www.csfd.cz/film/311967-hon/,2012
78,Motýlek,https://www.csfd.cz/film/20008-motylek/,1973
79,U pokladny stál...,https://www.csfd.cz/film/5546-u-pokladny-stal/,1939
80,Tenkrát v Americe,https://www.csfd.cz/film/5914-tenkrat-v-americe/,1984
81,Na samotě u lesa,https://www.csfd.cz/film/6663-na-samote-u-lesa/,1976
82,Requiem za sen,https://www.csfd.cz/film/14317-requiem-za-sen/,2000
83,Warrior,https://www.csfd.cz/film/234462-warrior/,2011
84,Obvyklí podezřelí,https://www.csfd.cz/film/8411-obvykli-podezreli/,1995
85,Mafiáni,https://www.csfd.cz/film/8246-mafiani/,1990
86,Klaus,https://www.csfd.cz/film/777537-klaus/,2019
87,Shrek,https://www.csfd.cz/film/14999-shrek/,2001
88,Cesta do pravěku,https://www.csfd.cz/film/10103-cesta-do-praveku/,1955
89,Americká krása,https://www.csfd.cz/film/6654-americka-krasa/,1999
90,Star Wars: Epizoda III - Pomsta Sithů,https://www.csfd.cz/film/6172-star-wars-epizoda-iii-pomsta-sithu/,2005
91,Podfu(c)k,https://www.csfd.cz/film/7700-podfu-c-k/,2000
92,Bourneovo ultimátum,https://www.csfd.cz/film/224141-bourneovo-ultimatum/,2007
93,Coco,https://www.csfd.cz/film/66830-coco/,2017
94,Star Wars: Epizoda VI - Návrat Jediho,https://www.csfd.cz/film/6474-star-wars-epizoda-vi-navrat-jediho/,1983
95,Byl jednou jeden král...,https://www.csfd.cz/film/10089-byl-jednou-jeden-kral/,1954
96,Terminátor,https://www.csfd.cz/film/1249-terminator/,1984
97,Poslední skaut,https://www.csfd.cz/film/8283-posledni-skaut/,1991
98,Frajer Luke,https://www.csfd.cz/film/7827-frajer-luke/,1967
99,Uprchlík,https://www.csfd.cz/film/2302-uprchlik/,1993
100,Čas probuzení,https://www.csfd.cz/film/6490-cas-probuzeni/,1990
101,Trainspotting,https://www.csfd.cz/film/901-trainspotting/,1996
102,Princezna Mononoke,https://www.csfd.cz/film/22205-princezna-mononoke/,1997
103,Světáci,https://www.csfd.cz/film/23443-svetaci/,1969
104,Medvěd,https://www.csfd.cz/film/168-medved/,1988
105,"Chyť mě, když to dokážeš",https://www.csfd.cz/film/8630-chyt-me-kdyz-to-dokazes/,2002
106,"Jára Cimrman ležící, spící",https://www.csfd.cz/film/8541-jara-cimrman-lezici-spici/,1983
107,Škola základ života,https://www.csfd.cz/film/3157-skola-zaklad-zivota/,1938
108,Sedm samurajů,https://www.csfd.cz/film/5435-sedm-samuraju/,1954
109,12 opic,https://www.csfd.cz/film/3311-12-opic/,1995
110,Osudový dotek,https://www.csfd.cz/film/45608-osudovy-dotek/,2004
111,Americký gangster,https://www.csfd.cz/film/224384-americky-gangster/,2007
112,Sbal prachy a vypadni,https://www.csfd.cz/film/7698-sbal-prachy-a-vypadni/,1998
113,Zjizvená tvář,https://www.csfd.cz/film/2335-zjizvena-tvar/,1983
114,Černý jestřáb sestřelen,https://www.csfd.cz/film/8266-cerny-jestrab-sestrelen/,2001
115,Truman Show,https://www.csfd.cz/film/9568-truman-show/,1998
116,Zelená kniha,https://www.csfd.cz/film/600912-zelena-kniha/,2018
117,Sněhurka a sedm trpaslíků,https://www.csfd.cz/film/83776-snehurka-a-sedm-trpasliku/,1937
118,Obchod na korze,https://www.csfd.cz/film/4999-obchod-na-korze/,1965
119,Hanebný pancharti,https://www.csfd.cz/film/117077-hanebny-pancharti/,2009
120,Batman začíná,https://www.csfd.cz/film/136224-batman-zacina/,2005
121,Predátor,https://www.csfd.cz/film/6648-predator/,1987
122,Rocky,https://www.csfd.cz/film/16103-rocky/,1976
123,Memento,https://www.csfd.cz/film/6995-memento/,2000
124,Smrtonosná zbraň 2,https://www.csfd.cz/film/2439-smrtonosna-zbran-2/,1989
125,Cesta do fantazie,https://www.csfd.cz/film/42136-cesta-do-fantazie/,2001
126,"Vrchní, prchni!",https://www.csfd.cz/film/8545-vrchni-prchni/,1980
127,Temný rytíř povstal,https://www.csfd.cz/film/252669-temny-rytir-povstal/,2012
128,Lví král,https://www.csfd.cz/film/6741-lvi-kral/,1994
129,Čarodějův učeň,https://www.csfd.cz/film/10102-carodejuv-ucen/,1977
130,Ponorka,https://www.csfd.cz/film/7222-ponorka/,1981
131,Sám doma,https://www.csfd.cz/film/1628-sam-doma/,1990
132,Hotel Rwanda,https://www.csfd.cz/film/182289-hotel-rwanda/,2004
133,Nejistá sezóna,https://www.csfd.cz/film/8543-nejista-sezona/,1987
134,Vynález zkázy,https://www.csfd.cz/film/10125-vynalez-zkazy/,1958
135,Pro pár dolarů navíc,https://www.csfd.cz/film/5915-pro-par-dolaru-navic/,1965
136,Černobílý svět,https://www.csfd.cz/film/277770-cernobily-svet/,2011
137,Jak vycvičit draka,https://www.csfd.cz/film/234768-jak-vycvicit-draka/,2010
138,Na hraně zítřka,https://www.csfd.cz/film/307556-na-hrane-zitrka/,2014
139,Smrt krásných srnců,https://www.csfd.cz/film/4978-smrt-krasnych-srncu/,1986
140,Život Briana,https://www.csfd.cz/film/23587-zivot-briana/,1979
141,Olověná vesta,https://www.csfd.cz/film/5401-olovena-vesta/,1987
142,Most přes řeku Kwai,https://www.csfd.cz/film/5696-most-pres-reku-kwai/,1957
143,Kolja,https://www.csfd.cz/film/8805-kolja/,1996
144,Císařův pekař - Pekařův císař,https://www.csfd.cz/film/3094-cisaruv-pekar-pekaruv-cisar/,1951
